"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","RT","boundary1","boundary","tau1","tau","urgency","drift_con","gain","loss","decay","epP","epN","K","w"
"0001",1,1,NA,FALSE,35,3,0.113363997091074,0,1.2155566201239,1.86609,1.870265,0.1347135,0.0793793,0.1482785,0.50263,0.2375365,3.303955,0.4942,-0.5181235,-0.2624845,0.456611,0.3612135
"0001",2,1,NA,FALSE,35,2,0.25,3.03892836911837,0.76981000284844,1.86609,1.870265,0.1347135,0.0793793,0.1482785,0.50263,0.2375365,3.303955,0.4942,-0.5181235,-0.2624845,0.456611,0.3612135
"0001",3,1,NA,FALSE,35,1,0.25,0.587889024463948,0.927687735185611,1.86609,1.870265,0.1347135,0.0793793,0.1482785,0.50263,0.2375365,3.303955,0.4942,-0.5181235,-0.2624845,0.456611,0.3612135
"0001",4,1,NA,FALSE,35,1,0.25,0,0.577490844030916,1.86609,1.870265,0.1347135,0.0793793,0.1482785,0.50263,0.2375365,3.303955,0.4942,-0.5181235,-0.2624845,0.456611,0.3612135
"0001",5,1,NA,FALSE,35,2,0.25,0,1.96807820700207,1.86609,1.870265,0.1347135,0.0793793,0.1482785,0.50263,0.2375365,3.303955,0.4942,-0.5181235,-0.2624845,0.456611,0.3612135
"0001",6,1,NA,FALSE,35,2,0.25,0,0.431099183950297,1.86609,1.870265,0.1347135,0.0793793,0.1482785,0.50263,0.2375365,3.303955,0.4942,-0.5181235,-0.2624845,0.456611,0.3612135
"0001",7,1,NA,FALSE,35,1,0.25,0,0.644105068332985,1.86609,1.870265,0.1347135,0.0793793,0.1482785,0.50263,0.2375365,3.303955,0.4942,-0.5181235,-0.2624845,0.456611,0.3612135
"0001",8,1,NA,FALSE,35,2,0.25,0,2.52504066739724,1.86609,1.870265,0.1347135,0.0793793,0.1482785,0.50263,0.2375365,3.303955,0.4942,-0.5181235,-0.2624845,0.456611,0.3612135
"0001",9,1,NA,FALSE,35,1,0.25,0,0.906474315512409,1.86609,1.870265,0.1347135,0.0793793,0.1482785,0.50263,0.2375365,3.303955,0.4942,-0.5181235,-0.2624845,0.456611,0.3612135
"0001",10,1,NA,FALSE,35,1,0.25,0.86791339723859,1.95905507663915,1.86609,1.870265,0.1347135,0.0793793,0.1482785,0.50263,0.2375365,3.303955,0.4942,-0.5181235,-0.2624845,0.456611,0.3612135
"0001",11,1,NA,FALSE,35,1,0.25,0.832178221899085,0.829262386437712,1.86609,1.870265,0.1347135,0.0793793,0.1482785,0.50263,0.2375365,3.303955,0.4942,-0.5181235,-0.2624845,0.456611,0.3612135
